"name","longitude","latitude","issues","prov","key","scientificName","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","country","rightsHolder","identifier","http://unknown.org/nick","verbatimEventDate","datasetName","verbatimLocality","gbifID","collectionCode","occurrenceID","taxonID","catalogNumber","recordedBy","http://unknown.org/occurrenceDetails","institutionCode","rights","eventTime","identifiedBy","identificationID","occurrenceRemarks","nomenclaturalCode","institutionID","locality","language","type","individualCount","organismQuantity","organismQuantityType","eventID","http://rs.tdwg.org/dwc/terms/organismQuantity","occurrenceStatus","organismID","datasetID","http://rs.tdwg.org/dwc/terms/organismQuantityType","habitat","higherGeography","county","vernacularName","higherClassification","elevation","elevationAccuracy","continent","municipality","preparations","verbatimElevation","recordNumber","endDayOfYear","startDayOfYear","collectionID","georeferenceSources","lifeStage","created","associatedSequences","island","infraspecificEpithet","islandGroup","taxonRemarks","depth","fieldNumber","previousIdentifications","accessRights","nomenclaturalStatus","ownerInstitutionCode","bibliographicCitation","establishmentMeans","informationWithheld","reproductiveCondition","georeferencedDate","georeferencedBy","verbatimSRS","disposition","otherCatalogNumbers","dynamicProperties","georeferenceVerificationStatus","waterBody","verbatimCoordinateSystem","fieldNotes","samplingProtocol","networkKeys","identificationVerificationStatus","locationAccordingTo","identificationRemarks","identificationQualifier","http://unknown.org/recordId","associatedTaxa","verbatimTaxonRank","source","projectId","materialSampleID"
"Trochodendron aralioides P.F.Siebold & J.G.Zuccarini",121.522263,25.17337,"cdround,gass84","gbif","2573948248","Trochodendron aralioides P.F.Siebold & J.G.Zuccarini","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-08-04T08:36:47.069+0000","2020-08-04T10:25:17.206+0000",225,"HUMAN_OBSERVATION",4191567,6,7707728,220,7471799,3234476,7274049,4191567,4191567,"Trochodendron aralioides P.F.Siebold & J.G.Zuccarini","Plantae","Tracheophyta","Trochodendrales","Trochodendraceae","Trochodendron","Trochodendron aralioides","Trochodendron","aralioides","SPECIES","ACCEPTED","2020-02-18T13:26:39",6,"New Taipei",2020,2,14,2020-02-14,"2020-02-18T13:36:45.000+0000","2020-08-04T10:25:17.206+0000","https://www.inaturalist.org/observations/38753275","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Magnoliopsida","TW","[]","[]","Taiwan","buggi","38753275","buggi","Fri Feb 14 2020 13:50:55 GMT+0800 (GMT+8)","iNaturalist research-grade observations","TW","2573948248","Observations","https://www.inaturalist.org/observations/38753275","429716","38753275","buggi","https://www.inaturalist.org/observations/38753275","iNaturalist","c buggi some rights reserved","05:50:55Z","jodyhsieh","87413873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trochodendron aralioides P.F.Siebold & J.G.Zuccarini",121.235268,24.048632,"cdround,gass84","gbif","2576403581","Trochodendron aralioides P.F.Siebold & J.G.Zuccarini","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-08-04T08:36:47.069+0000","2020-08-04T10:24:21.400+0000",225,"HUMAN_OBSERVATION",4191567,6,7707728,220,7471799,3234476,7274049,4191567,4191567,"Trochodendron aralioides P.F.Siebold & J.G.Zuccarini","Plantae","Tracheophyta","Trochodendrales","Trochodendraceae","Trochodendron","Trochodendron aralioides","Trochodendron","aralioides","SPECIES","ACCEPTED",NA,3,"Taiwan",2020,2,29,2020-02-29,"2020-03-02T09:56:04.000+0000","2020-08-04T10:24:21.400+0000","https://www.inaturalist.org/observations/39400082","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","Magnoliopsida","TW","[]","[]","Taiwan","Lin Scott","39400082","linscott","2020-02-29 1:36:09 PM GMT+08:00","iNaturalist research-grade observations","Nantou, TW-TA, TW","2576403581","Observations","https://www.inaturalist.org/observations/39400082","429716","39400082","Lin Scott","https://www.inaturalist.org/observations/39400082","iNaturalist","c Lin Scott some rights reserved","05:36:09Z","葉子",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trochodendron aralioides P.F.Siebold & J.G.Zuccarini",121.113042,24.50148,"cdround,gass84","gbif","2802724001","Trochodendron aralioides P.F.Siebold & J.G.Zuccarini","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-08-04T08:36:47.069+0000","2020-08-04T10:25:29.386+0000",225,"HUMAN_OBSERVATION",4191567,6,7707728,220,7471799,3234476,7274049,4191567,4191567,"Trochodendron aralioides P.F.Siebold & J.G.Zuccarini","Plantae","Tracheophyta","Trochodendrales","Trochodendraceae","Trochodendron","Trochodendron aralioides","Trochodendron","aralioides","SPECIES","ACCEPTED","2020-06-15T09:09:49",31,"Taiwan",2020,2,24,2020-02-24,"2020-06-15T11:24:02.000+0000","2020-08-04T10:25:29.386+0000","https://www.inaturalist.org/observations/49697479","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Magnoliopsida","TW","[]","[]","Taiwan","ihenglan","49697479","ihenglan","2020/02/24 2:46 PM UTC","iNaturalist research-grade observations","台灣苗栗縣","2802724001","Observations","https://www.inaturalist.org/observations/49697479","429716","49697479","ihenglan","https://www.inaturalist.org/observations/49697479","iNaturalist","c ihenglan some rights reserved",NA,"ihenglan","110406062",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trochodendron aralioides P.F.Siebold & J.G.Zuccarini",121.273148,24.666366,"cdround,gass84","gbif","2579276812","Trochodendron aralioides P.F.Siebold & J.G.Zuccarini","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-08-04T08:36:47.069+0000","2020-08-04T10:24:23.926+0000",225,"HUMAN_OBSERVATION",4191567,6,7707728,220,7471799,3234476,7274049,4191567,4191567,"Trochodendron aralioides P.F.Siebold & J.G.Zuccarini","Plantae","Tracheophyta","Trochodendrales","Trochodendraceae","Trochodendron","Trochodendron aralioides","Trochodendron","aralioides","SPECIES","ACCEPTED","2020-03-06T08:10:49",10,"Taiwan",2020,3,6,2020-03-06,"2020-03-06T08:21:02.000+0000","2020-08-04T10:24:23.926+0000","https://www.inaturalist.org/observations/39604135","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Magnoliopsida","TW","[]","[]","Taiwan","greenlapwing","39604135","greenlapwing","2020-03-06 4:09:59 PM GMT+08:00","iNaturalist research-grade observations","313台灣新竹縣尖石鄉錦屏村","2579276812","Observations","https://www.inaturalist.org/observations/39604135","429716","39604135","greenlapwing","https://www.inaturalist.org/observations/39604135","iNaturalist","c greenlapwing some rights reserved","08:09:59Z","greenlapwing","89443253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trochodendron aralioides P.F.Siebold & J.G.Zuccarini",121.287947,24.385025,"cdround,gass84","gbif","2579308090","Trochodendron aralioides P.F.Siebold & J.G.Zuccarini","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-08-04T08:36:47.069+0000","2020-08-04T10:24:25.024+0000",225,"HUMAN_OBSERVATION",4191567,6,7707728,220,7471799,3234476,7274049,4191567,4191567,"Trochodendron aralioides P.F.Siebold & J.G.Zuccarini","Plantae","Tracheophyta","Trochodendrales","Trochodendraceae","Trochodendron","Trochodendron aralioides","Trochodendron","aralioides","SPECIES","ACCEPTED","2020-03-07T13:32:48",12,"Taichung",2020,3,1,2020-03-01,"2020-03-07T13:42:35.000+0000","2020-08-04T10:24:25.024+0000","https://www.inaturalist.org/observations/39646479","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","Magnoliopsida","TW","[{""type"":""ORCID"",""value"":""https://orcid.org/0000-0003-2857-1625""}]","[{""type"":""ORCID"",""value"":""https://orcid.org/0000-0003-2857-1625""}]","Taiwan","Cheng-Tao Lin","39646479","mutolisp","2020/03/01 12:54 PM CST","iNaturalist research-grade observations","雪山主峰線步道，Taichung City, Taiwan","2579308090","Observations","https://www.inaturalist.org/observations/39646479","429716","39646479","Cheng-Tao Lin","https://www.inaturalist.org/observations/39646479","iNaturalist","c Cheng-Tao Lin some rights reserved","04:54:00Z","Cheng-Tao Lin","89559108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trochodendron aralioides P.F.Siebold & J.G.Zuccarini",120.875832,23.473575,"cdround,gass84","gbif","2579310438","Trochodendron aralioides P.F.Siebold & J.G.Zuccarini","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-08-04T08:36:47.069+0000","2020-08-04T10:25:32.799+0000",225,"HUMAN_OBSERVATION",4191567,6,7707728,220,7471799,3234476,7274049,4191567,4191567,"Trochodendron aralioides P.F.Siebold & J.G.Zuccarini","Plantae","Tracheophyta","Trochodendrales","Trochodendraceae","Trochodendron","Trochodendron aralioides","Trochodendron","aralioides","SPECIES","ACCEPTED","2020-03-10T11:47:03",NA,"Taiwan",2020,3,10,2020-03-10,"2020-03-10T11:52:42.000+0000","2020-08-04T10:25:32.799+0000","https://www.inaturalist.org/observations/39793900","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Magnoliopsida","TW","[]","[]","Taiwan","林棋欽","39793900","spycat77","2020/03/10 2:04 PM CST","iNaturalist research-grade observations","台灣南投縣玉山國家公園","2579310438","Observations","https://www.inaturalist.org/observations/39793900","429716","39793900","林棋欽","https://www.inaturalist.org/observations/39793900","iNaturalist","c 林棋欽 some rights reserved","06:04:00Z","林棋欽","89914223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trochodendron aralioides P.F.Siebold & J.G.Zuccarini",121.389087,25.168184,"cdround,gass84","gbif","2579371971","Trochodendron aralioides P.F.Siebold & J.G.Zuccarini","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-08-04T08:36:47.069+0000","2020-08-04T10:24:27.987+0000",225,"HUMAN_OBSERVATION",4191567,6,7707728,220,7471799,3234476,7274049,4191567,4191567,"Trochodendron aralioides P.F.Siebold & J.G.Zuccarini","Plantae","Tracheophyta","Trochodendrales","Trochodendraceae","Trochodendron","Trochodendron aralioides","Trochodendron","aralioides","SPECIES","ACCEPTED","2020-03-06T12:17:15",NA,"New Taipei",2020,3,1,2020-03-01,"2020-03-06T12:27:35.000+0000","2020-08-04T10:24:27.987+0000","https://www.inaturalist.org/observations/39607238","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Magnoliopsida","TW","[]","[]","Taiwan","淑端","39607238","shuduan","2020-03-01 8:26:54 AM GMT+08:00","iNaturalist research-grade observations","台灣","2579371971","Observations","https://www.inaturalist.org/observations/39607238","429716","39607238","淑端","https://www.inaturalist.org/observations/39607238","iNaturalist","c 淑端 some rights reserved","00:26:54Z","淑端","89452281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trochodendron aralioides P.F.Siebold & J.G.Zuccarini",121.37831,24.199068,"cdround,gass84","gbif","2580107602","Trochodendron aralioides P.F.Siebold & J.G.Zuccarini","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-08-04T08:36:47.069+0000","2020-08-04T10:24:21.493+0000",225,"HUMAN_OBSERVATION",4191567,6,7707728,220,7471799,3234476,7274049,4191567,4191567,"Trochodendron aralioides P.F.Siebold & J.G.Zuccarini","Plantae","Tracheophyta","Trochodendrales","Trochodendraceae","Trochodendron","Trochodendron aralioides","Trochodendron","aralioides","SPECIES","ACCEPTED","2020-03-17T08:26:34",55,"Taiwan",2020,3,17,2020-03-17,"2020-03-17T08:48:21.000+0000","2020-08-04T10:24:21.493+0000","https://www.inaturalist.org/observations/40120401","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Magnoliopsida","TW","[]","[]","Taiwan","kuobear","40120401","kuobear","Tue Mar 17 2020 16:25:54 GMT+0800 (GMT+8)","iNaturalist research-grade observations","秀林鄉, TW","2580107602","Observations","https://www.inaturalist.org/observations/40120401","429716","40120401","kuobear","https://www.inaturalist.org/observations/40120401","iNaturalist","c kuobear some rights reserved","08:25:54Z","kuobear","90730563",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trochodendron aralioides P.F.Siebold & J.G.Zuccarini",120.793322,23.635597,"cdround,gass84","gbif","2596281955","Trochodendron aralioides P.F.Siebold & J.G.Zuccarini","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-08-04T08:36:47.069+0000","2020-08-04T10:24:21.773+0000",225,"HUMAN_OBSERVATION",4191567,6,7707728,220,7471799,3234476,7274049,4191567,4191567,"Trochodendron aralioides P.F.Siebold & J.G.Zuccarini","Plantae","Tracheophyta","Trochodendrales","Trochodendraceae","Trochodendron","Trochodendron aralioides","Trochodendron","aralioides","SPECIES","ACCEPTED","2020-03-25T09:08:40",NA,"Taiwan",2020,3,20,2020-03-20,"2020-03-25T09:10:25.000+0000","2020-08-04T10:24:21.773+0000","https://www.inaturalist.org/observations/40684293","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Magnoliopsida","TW","[]","[]","Taiwan","Chen Shu","40684293","chenshu","2020/03/20 11:33 AM CST","iNaturalist research-grade observations","Nantou, Taiwan, Taiwan","2596281955","Observations","https://www.inaturalist.org/observations/40684293","429716","40684293","Chen Shu","https://www.inaturalist.org/observations/40684293","iNaturalist","c Chen Shu some rights reserved","03:33:00Z","Chen Shu","91958252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trochodendron aralioides P.F.Siebold & J.G.Zuccarini",121.283459,24.737718,"cdround,gass84","gbif","2596441101","Trochodendron aralioides P.F.Siebold & J.G.Zuccarini","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2020-08-04T08:36:47.069+0000","2020-08-04T10:24:21.749+0000",225,"HUMAN_OBSERVATION",4191567,6,7707728,220,7471799,3234476,7274049,4191567,4191567,"Trochodendron aralioides P.F.Siebold & J.G.Zuccarini","Plantae","Tracheophyta","Trochodendrales","Trochodendraceae","Trochodendron","Trochodendron aralioides","Trochodendron","aralioides","SPECIES","ACCEPTED","2020-03-25T20:11:58",15,"Taiwan",2020,3,18,2020-03-18,"2020-03-25T22:58:33.000+0000","2020-08-04T10:24:21.749+0000","https://www.inaturalist.org/observations/40711358","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","Magnoliopsida","TW","[]","[]","Taiwan","greenlapwing","40711358","greenlapwing","2020/03/18 12:53 PM CST","iNaturalist research-grade observations","台灣新竹縣","2596441101","Observations","https://www.inaturalist.org/observations/40711358","429716","40711358","greenlapwing","https://www.inaturalist.org/observations/40711358","iNaturalist","c greenlapwing some rights reserved","04:53:00Z","greenlapwing","92024343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"{}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
